,g__Sediminibacterium,g__Azonexus,g__Bifidobacterium,g__Collinsella,g__Streptococcus,g__Dorea,g__Clostridium,g__Mediterraneibacter,g__Faecalibacterium,g__Ruminococcus_D,g__Anaerostipes,g__Anaerobutyricum,g__Ruminococcus_A,g__Fusicatenibacter,g__Blautia_A
ARO:3000190,0,0,0.059438259,0.153544199,0,0,0.219791233,0,0.20323458,0,0,3.545024218,0,0,2.972069213
ARO:3004480,0,4.515977528,11.2635501,0.358269798,0,0,0.6593737,0,0.40646916,0.649721708,0.616882596,0.709004844,0,0.772195406,0.479795927
ARO:3004601,2.230280971,0,0.059438259,0.0511814,0.306490676,0,3.077077269,0,0,0,0.308441298,0.283601937,0.301988716,0,0.079965988
ARO:3000196,0,0,0,0,0,0,0,0,0,0,0,0.283601937,0,2.70268392,0.026655329
ARO:3000567,0,0,0.059438259,0,0,6.676562816,0,0,0,0,0,0.283601937,0,0,0.213242634
ARO:3000375,0,0,0,0,0,0,0,0,0,0,0,0.283601937,0,0,0.106621317
ARO:3000194,0,0,0.089157389,1.177172195,0,0,0,0,0.71132103,0,0,0,0,0,0
ARO:3003499,0,0,0.059438259,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3003730,0,0,0.059438259,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3000186,0,0,0.059438259,0,1.838944054,0,0,0,0,0,0,0,0,0,0
ARO:3004058,0,0,0.02971913,0,0,0,0,0,0,0,0,0,0,0,0.079965988
ARO:3002867,0,0,0,0,0,0,0,3.251049276,0,0,0,0,0.603977433,0,0.039982994
ARO:3004442,0,0,0,0.307088399,0,0,0,0,0.10161729,0,0,0,0,0,0
ARO:3002647,0,0,0,0.1023628,0,0,0,0,0,0,0,0,0,0,0
ARO:3002597,0,0,0,0,0,11.12760469,0,0,0,0,0,0,0,0,0
ARO:3004654,0,0,0,0,0,0,0,0,0,0.649721708,0,0,0,0,0
ARO:3003112,0,0,0,0,0.612981351,0,0,0,0,0,0,0,0,0,0
